year,Inflation rate, budget ,budget_cleaned, gross ,gross_cleaned,company,country,director,genre,,name,rating,released,runtime,score,star,votes,writer
2016,1,"$130,000 ","$130,000 ","$13,557 ","$13,557 ",Changing Film Productions,USA,Bank Tangjaitrong,Adventure,,Till We Meet Again,NOT RATED,11/25/16,105,6.9,John Matton,1248,John Matton
2016,1,"$6,000,000 ","$6,000,000 ","$177,680 ","$177,680 ",Human Stew Factory,USA,Ana Lily Amirpour,Drama,,The Bad Batch,R,6/23/17,118,5.4,Suki Waterhouse,8340,Ana Lily Amirpour
2016,1,"$8,000,000 ","$8,000,000 ","$685,143 ","$685,143 ",Cinelou Films,USA,Bruce Beresford,Comedy,,Mr. Church,PG-13,9/16/16,104,7.7,Eddie Murphy,18249,Susan McMartin
2016,1,"$3,800,000 ","$3,800,000 ","$1,016,872 ","$1,016,872 ",Sycamore Pictures,USA,John Krasinski,Comedy,,The Hollars,PG-13,8/26/16,88,6.5,Sharlto Copley,7227,Jim Strouse
2016,1,"$15,000,000 ","$15,000,000 ","$1,658,706 ","$1,658,706 ",Cinelou Films,USA,Taylor Hackford,Comedy,,The Comedian,R,2002/3/17,120,5.7,Robert De Niro,3729,Art Linson
2016,1,"$15,000,000 ","$15,000,000 ","$2,411,580 ","$2,411,580 ",Demarest Films,USA,D.J. Caruso,Drama,,The Disappointments Room,R,2009/9/16,85,3.9,Kate Beckinsale,6287,Wentworth Miller
2016,1,"$10,000,000 ","$10,000,000 ","$3,369,431 ","$3,369,431 ",Annapurna Pictures,USA,Richard Linklater,Comedy,,Everybody Wants Some!!,R,2004/7/16,117,7,Blake Jenner,39909,Richard Linklater
2016,1,"$25,000,000 ","$25,000,000 ","$3,647,836 ","$3,647,836 ",New Regency Pictures,USA,Warren Beatty,Comedy,,Rules Don't Apply,PG-13,11/23/16,127,5.7,Lily Collins,5192,Warren Beatty
2016,1,"$18,000,000 ","$18,000,000 ","$3,707,794 ","$3,707,794 ",Warner Bros.,USA,Jeff Nichols,Drama,,Midnight Special,PG-13,4/21/16,112,6.7,Michael Shannon,58549,Jeff Nichols
2016,1,"$3,500,000 ","$3,500,000 ","$3,775,000 ","$3,775,000 ",Warner Bros. Animation,USA,Sam Liu,Animation,,Batman: The Killing Joke,R,7/25/16,76,6.5,Kevin Conroy,36333,Brian Azzarello
2016,1,"$250,000 ","$250,000 ","$3,847,290 ","$3,847,290 ",Diablo Entertainment (II),USA,J.D. Dillard,Action,,Sleight,R,4/28/17,89,5.9,Jacob Latimore,4012,J.D. Dillard
2016,1,"$8,000,000 ","$8,000,000 ","$3,912,052 ","$3,912,052 ",Scott Free Productions,USA,Luke Scott,Action,,Morgan,R,2009/2/16,92,5.8,Kate Mara,27297,Seth W. Owen
2016,1,"$3,000,000 ","$3,000,000 ","$4,208,879 ","$4,208,879 ",Blackbird,USA,Dan Kwan,Adventure,,Swiss Army Man,R,2007/1/16,97,7,Paul Dano,69827,Daniel Scheinert
2016,1,"$5,000,000 ","$5,000,000 ","$4,790,573 ","$4,790,573 ",IM Global,USA,Brad Peyton,Horror,,Incarnate,PG-13,2012/2/16,91,5.2,Aaron Eckhart,7778,Ronnie Christensen
2016,1,"$6,000,000 ","$6,000,000 ","$4,847,865 ","$4,847,865 ",Verdi Productions,USA,Ben Younger,Biography,,Bleed for This,R,11/18/16,117,6.8,Miles Teller,15158,Ben Younger
2016,1,"$7,000,000 ","$7,000,000 ","$5,663,855 ","$5,663,855 ",A24,USA,Mike Mills,Comedy,,20th Century Women,R,1/20/17,119,7.4,Annette Bening,20814,Mike Mills
2016,1,"$46,000,000 ","$46,000,000 ","$7,079,191 ","$7,079,191 ",Cappa Defina Productions,USA,Martin Scorsese,Adventure,,Silence,R,1/13/17,161,7.2,Andrew Garfield,61798,Jay Cocks
2016,1,"$20,000,000 ","$20,000,000 ","$7,222,964 ","$7,222,964 ",Black Bear Pictures,USA,Stephen Gaghan,Adventure,,Gold,R,1/27/17,120,6.7,Matthew McConaughey,32147,Patrick Massett
2016,1,"$40,000,000 ","$40,000,000 ","$8,106,986 ","$8,106,986 ",Regency Enterprises,USA,Gore Verbinski,Drama,,A Cure for Wellness,R,2/17/17,146,6.4,Dane DeHaan,45187,Justin Haythe
2016,1,"$30,000,000 ","$30,000,000 ","$8,574,339 ","$8,574,339 ",Keep Your Head,USA,James Gray,Adventure,,The Lost City of Z,PG-13,4/21/17,141,6.6,Charlie Hunnam,39409,James Gray
2016,1,"$900,000 ","$900,000 ","$9,093,856 ","$9,093,856 ",Hidden Empire Film Group,USA,Deon Taylor,Comedy,,Meet the Blacks,R,2004/1/16,94,6,Mike Epps,18980,Nicole DeMasi
2016,1,"$20,000,000 ","$20,000,000 ","$9,393,835 ","$9,393,835 ",Apatow Productions,USA,Akiva Schaffer,Comedy,,Popstar: Never Stop Never Stopping,R,2006/3/16,87,6.7,Andy Samberg,35620,Andy Samberg
2016,1,"$5,000,000 ","$5,000,000 ","$10,164,675 ","$10,164,675 ",BH Tilt,USA,Greg McLean,Action,,The Belko Experiment,R,3/17/17,89,6.1,John Gallagher Jr.,23422,James Gunn
2016,1,"$108,000,000 ","$108,000,000 ","$10,377,558 ","$10,377,558 ",Appian Way,USA,Ben Affleck,Action,,Live by Night,R,1/13/17,129,6.4,Ben Affleck,35064,Ben Affleck
2016,1,"$22,500,000 ","$22,500,000 ","$10,639,114 ","$10,639,114 ",Focus Features,USA,Tom Ford,Crime,,Nocturnal Animals,R,2012/9/16,116,7.5,Amy Adams,152436,Tom Ford
2016,1,"$4,000,000 ","$4,000,000 ","$10,732,841 ","$10,732,841 ",Blumhouse Productions,USA,Greg McLean,Horror,,The Darkness,PG-13,5/13/16,92,4.4,Kevin Bacon,9450,Greg McLean
2016,1,"$28,000,000 ","$28,000,000 ","$10,907,291 ","$10,907,291 ",Cross Creek Pictures,USA,Burr Steers,Action,,Pride and Prejudice and Zombies,PG-13,2002/5/16,108,5.8,Lily James,37491,Burr Steers
2016,1,"$30,000,000 ","$30,000,000 ","$11,103,205 ","$11,103,205 ",FilmNation Entertainment,USA,Woody Allen,Comedy,,Caf Society,PG-13,2008/5/16,96,6.7,Jesse Eisenberg,50826,Woody Allen
2016,1,"$20,000,000 ","$20,000,000 ","$12,626,905 ","$12,626,905 ",Worldview Entertainment,USA,John Hillcoat,Action,,Triple 9,R,2/26/16,115,6.3,Casey Affleck,51631,Matt Cook
2016,1,"$25,000,000 ","$25,000,000 ","$12,785,093 ","$12,785,093 ",FilmNation Entertainment,USA,John Lee Hancock,Biography,,The Founder,PG-13,1/20/17,100,7.2,Michael Keaton,62193,Robert D. Siegel
2016,1,"$9,000,000 ","$9,000,000 ","$14,260,193 ","$14,260,193 ",Gracie Films,USA,Kelly Fremon Craig,Comedy,,The Edge of Seventeen,R,11/18/16,104,7.4,Hailee Steinfeld,59867,Kelly Fremon Craig
2016,1,"$31,500,000 ","$31,500,000 ","$14,268,533 ","$14,268,533 ",BenderSpink,USA,Ariel Vromen,Action,,Criminal,R,4/15/16,113,6.3,Kevin Costner,42478,Douglas Cook
2016,1,"$40,000,000 ","$40,000,000 ","$14,896,798 ","$14,896,798 ",Fox 2000 Pictures,USA,Greg Mottola,Action,,Keeping Up with the Joneses,PG-13,10/21/16,105,5.8,Zach Galifianakis,39443,Michael LeSieur
2016,1,"$8,500,000 ","$8,500,000 ","$15,858,754 ","$15,858,754 ",Bron Studios,USA,Nate Parker,Biography,,The Birth of a Nation,R,2010/7/16,120,6.3,Nate Parker,14778,Nate Parker
2016,1,"$25,000,000 ","$25,000,000 ","$17,356,894 ","$17,356,894 ",Broadway Video,USA,Jared Hess,Action,,Masterminds,PG-13,9/30/16,95,5.8,Zach Galifianakis,34656,Chris Bowman
2016,1,"$26,000,000 ","$26,000,000 ","$17,664,973 ","$17,664,973 ",Broad Green Pictures,USA,Mark Waters,Comedy,,Bad Santa 2,R,11/23/16,92,5.5,Billy Bob Thornton,13114,Johnny Rosenthal
2016,1,"$8,500,000 ","$8,500,000 ","$19,985,196 ","$19,985,196 ",CBS Films,USA,Steve Carr,Animation,,Middle School: The Worst Years of My Life,PG,2010/7/16,92,6.1,Griffin Gluck,4556,Chris Bowman
2016,1,"$15,000,000 ","$15,000,000 ","$20,566,327 ","$20,566,327 ",New Line Cinema,USA,Peter Atencio,Action,,Keanu,R,4/29/16,100,6.3,Keegan-Michael Key,34580,Jordan Peele
2016,1,"$50,000,000 ","$50,000,000 ","$20,758,378 ","$20,758,378 ",Bluegrass Films,USA,Gary Ross,Action,,Free State of Jones,R,6/24/16,139,6.9,Matthew McConaughey,34513,Gary Ross
2016,1,"$35,000,000 ","$35,000,000 ","$23,049,575 ","$23,049,575 ",Broadway Video,USA,Glenn Ficarra,Biography,,Whiskey Tango Foxtrot,R,2003/4/16,112,6.6,Tina Fey,38907,Robert Carlock
2016,1,"$100,000,000 ","$100,000,000 ","$26,384,681 ","$26,384,681 ",LightWorkers Media,USA,Timur Bekmambetov,Action,,Ben-Hur,PG-13,8/19/16,123,5.7,Jack Huston,31863,Lew Wallace
2016,1,"$10,000,000 ","$10,000,000 ","$26,583,369 ","$26,583,369 ",Gramercy Pictures (I),USA,Jason Zada,Horror,,The Forest,PG-13,2001/8/16,93,4.8,Natalie Dormer,30580,Nick Antosca
2016,1,"$12,000,000 ","$12,000,000 ","$26,862,450 ","$26,862,450 ",Film 44,USA,David Mackenzie,Crime,,Hell or High Water,R,8/26/16,102,7.6,Chris Pine,132328,Taylor Sheridan
2016,1,"$80,000,000 ","$80,000,000 ","$27,550,735 ","$27,550,735 ",Walt Disney Pictures,USA,Craig Gillespie,Action,,The Finest Hours,PG-13,1/29/16,117,6.8,Chris Pine,47688,Scott Silver
2016,1,"$1,500,000 ","$1,500,000 ","$27,850,912 ","$27,850,912 ",A24,USA,Barry Jenkins,Drama,,Moonlight,R,11/18/16,111,7.5,Mahershala Ali,161857,Barry Jenkins
2016,1,"$50,000,000 ","$50,000,000 ","$28,848,693 ","$28,848,693 ",Panorama Films,USA,Ben Stiller,Comedy,,Zoolander 2,PG-13,2002/12/16,101,4.7,Ben Stiller,51053,Justin Theroux
2016,1,"$35,000,000 ","$35,000,000 ","$30,348,260 ","$30,348,260 ",Lakeshore Entertainment,USA,Anna Foerster,Action,,Underworld: Blood Wars,R,2001/6/17,91,5.8,Kate Beckinsale,49911,Cory Goodman
2016,1,"$36,000,000 ","$36,000,000 ","$30,982,955 ","$30,982,955 ",New Line Cinema,USA,David Frankel,Drama,,Collateral Beauty,PG-13,12/16/16,97,6.8,Will Smith,56439,Allan Loeb
2016,1,"$140,000,000 ","$140,000,000 ","$31,153,464 ","$31,153,464 ",Pyramania,USA,Alex Proyas,Action,,Gods of Egypt,PG-13,2/26/16,127,5.4,Brenton Thwaites,78473,Matt Sazama
2016,1,"$25,000,000 ","$25,000,000 ","$32,463,917 ","$32,463,917 ",Open Road Films (II),USA,Garry Marshall,Comedy,,Mother's Day,PG-13,4/29/16,118,5.6,Jennifer Aniston,22504,Anya Kochoff
2016,1,"$125,000,000 ","$125,000,000 ","$33,370,166 ","$33,370,166 ",Disruption Entertainment,USA,Chris Wedge,Action,,Monster Trucks,PG,1/13/17,104,5.7,Lucas Till,9244,Derek Connolly
2016,1,"$75,000,000 ","$75,000,000 ","$34,343,574 ","$34,343,574 ",Columbia Pictures,USA,Ron Howard,Action,,Inferno,PG-13,10/28/16,121,6.2,Tom Hanks,111448,Dan Brown
2016,1,"$9,000,000 ","$9,000,000 ","$34,904,885 ","$34,904,885 ",Allspark Pictures,USA,Mike Flanagan,Horror,,Ouija: Origin of Evil,PG-13,10/21/16,99,6.1,Elizabeth Reaser,35690,Mike Flanagan
2016,1,"$38,000,000 ","$38,000,000 ","$34,912,982 ","$34,912,982 ",Columbia Pictures,USA,J Blakeson,Action,,The 5th Wave,PG-13,1/22/16,112,5.2,Chlo Grace Moretz,76535,Susannah Grant
2016,1,"$27,500,000 ","$27,500,000 ","$35,537,564 ","$35,537,564 ",Lionsgate,USA,Dan Mazer,Comedy,,Dirty Grandpa,R,1/22/16,102,6,Robert De Niro,82289,John Phillips
2016,1,"$8,000,000 ","$8,000,000 ","$35,794,166 ","$35,794,166 ",Lakeshore Entertainment,USA,William Brent Bell,Horror,,The Boy,PG-13,1/22/16,97,6,Lauren Cohan,55856,Stacey Menear
2016,1,"$50,000,000 ","$50,000,000 ","$36,261,763 ","$36,261,763 ",Misty Mountains,USA,Shane Black,Comedy,,The Nice Guys,R,5/20/16,116,7.4,Russell Crowe,193151,Shane Black
2016,1,"$20,000,000 ","$20,000,000 ","$36,874,745 ","$36,874,745 ",LD Entertainment,USA,Kevin Reynolds,Action,,Risen,PG-13,2/19/16,107,6.3,Joseph Fiennes,19084,Kevin Reynolds
2016,1,"$20,000,000 ","$20,000,000 ","$38,562,379 ","$38,562,379 ",Allison Shearmur Productions,USA,Henry Joost,Adventure,,Nerve,PG-13,7/27/16,96,6.6,Emma Roberts,81127,Jeanne Ryan
2016,1,"$27,000,000 ","$27,000,000 ","$41,012,075 ","$41,012,075 ",TriStar Pictures,USA,Jodie Foster,Crime,,Money Monster,R,5/13/16,98,6.5,George Clooney,72997,Jamie Linden
2016,1,"$17,000,000 ","$17,000,000 ","$41,715,860 ","$41,715,860 ",Perfect World Pictures (Beijing),USA,David E. Talbert,Comedy,,Almost Christmas,PG-13,2011/11/16,111,6,Kimberly Elise,3366,David E. Talbert
2016,1,"$40,000,000 ","$40,000,000 ","$43,017,433 ","$43,017,433 ",BZ Entertainment,USA,Todd Phillips,Comedy,,War Dogs,R,8/19/16,114,7.1,Jonah Hill,123020,Stephen Chin
2016,1,"$150,000,000 ","$150,000,000 ","$45,157,105 ","$45,157,105 ",Legendary East,USA,Yimou Zhang,Action,,The Great Wall,PG-13,2/17/17,103,6,Matt Damon,82181,Carlo Bernard
2016,1,"$33,000,000 ","$33,000,000 ","$46,007,113 ","$46,007,113 ",Twentieth Century Fox Film Corporation,USA,Jake Szymanski,Adventure,,Mike and Dave Need Wedding Dates,R,2007/8/16,98,6,Zac Efron,61076,Andrew Jay Cohen
2016,1,"$38,000,000 ","$38,000,000 ","$46,813,366 ","$46,813,366 ",New Line Cinema,USA,Christian Ditter,Comedy,,How to Be Single,R,2002/12/16,110,6.1,Dakota Johnson,63520,Abby Kohn
2016,1,"$8,500,000 ","$8,500,000 ","$47,695,120 ","$47,695,120 ",Amazon Studios,USA,Kenneth Lonergan,Drama,,Manchester by the Sea,R,12/16/16,137,7.9,Casey Affleck,159673,Kenneth Lonergan
2016,1,"$115,000,000 ","$115,000,000 ","$47,952,020 ","$47,952,020 ",Universal Pictures,USA,Cedric Nicolas-Troyan,Action,,The Huntsman: Winter's War,PG-13,4/22/16,114,6.1,Chris Hemsworth,71570,Evan Spiliotopoulos
2016,1,"$60,000,000 ","$60,000,000 ","$48,023,088 ","$48,023,088 ",Laika Entertainment,USA,Travis Knight,Animation,,Kubo and the Two Strings,PG,8/19/16,101,7.8,Charlize Theron,82575,Marc Haimes
2016,1,"$125,000,000 ","$125,000,000 ","$54,645,723 ","$54,645,723 ",Regency Enterprises,USA,Justin Kurzel,Action,,Assassin's Creed,PG-13,12/21/16,115,5.9,Michael Fassbender,133338,Michael Lesslie
2016,1,"$45,000,000 ","$45,000,000 ","$54,730,514 ","$54,730,514 ",Amblin Partners,USA,Josh Gordon,Comedy,,Office Christmas Party,R,2012/9/16,105,5.8,Jason Bateman,37358,Justin Malen
2016,1,"$17,000,000 ","$17,000,000 ","$55,121,623 ","$55,121,623 ",Columbia Pictures,USA,Jaume Collet-Serra,Drama,,The Shallows,PG-13,6/24/16,86,6.3,Blake Lively,87057,Anthony Jaswinski
2016,1,"$35,000,000 ","$35,000,000 ","$55,291,815 ","$55,291,815 ",Good Universe,USA,Nicholas Stoller,Comedy,,Neighbors 2: Sorority Rising,R,5/20/16,92,5.7,Seth Rogen,83340,Andrew Jay Cohen
2016,1,"$140,000,000 ","$140,000,000 ","$55,483,770 ","$55,483,770 ",Walt Disney Pictures,USA,Steven Spielberg,Adventure,,The BFG,PG,2007/1/16,117,6.4,Mark Rylance,56297,Melissa Mathison
2016,1,"$24,000,000 ","$24,000,000 ","$57,642,961 ","$57,642,961 ",Bron Studios,USA,Denzel Washington,Drama,,Fences,PG-13,12/25/16,139,7.2,Denzel Washington,62351,August Wilson
2016,1,"$18,000,000 ","$18,000,000 ","$59,573,085 ","$59,573,085 ",Gold Circle Films,USA,Kirk Jones,Comedy,,My Big Fat Greek Wedding 2,PG-13,3/25/16,94,6,Nia Vardalos,22142,Nia Vardalos
2016,1,"$38,000,000 ","$38,000,000 ","$60,269,575 ","$60,269,575 ",Twentieth Century Fox Film Corporation,USA,John Hamburg,Comedy,,Why Him?,R,12/23/16,111,6.3,Zoey Deutch,63612,John Hamburg
2016,1,"$13,000,000 ","$13,000,000 ","$61,693,523 ","$61,693,523 ",Columbia Pictures,USA,Patricia Riggen,Biography,,Miracles from Heaven,PG,3/16/16,109,7,Jennifer Garner,13373,Christy Beam
2016,1,"$29,000,000 ","$29,000,000 ","$63,034,755 ","$63,034,755 ",Gary Sanchez Productions,USA,Ben Falcone,Comedy,,The Boss,R,2004/8/16,99,5.4,Melissa McCarthy,31703,Melissa McCarthy
2016,1,"$105,000,000 ","$105,000,000 ","$64,063,008 ","$64,063,008 ",Blue Sky Studios,USA,Mike Thurmeier,Animation,,Ice Age: Collision Course,PG,7/22/16,94,5.7,Ray Romano,38556,Michael J. Wilson
2016,1,"$110,000,000 ","$110,000,000 ","$66,002,193 ","$66,002,193 ",Mandeville Films,USA,Robert Schwentke,Action,,Allegiant,PG-13,3/18/16,120,5.7,Shailene Woodley,76550,Noah Oppenheim
2016,1,"$4,900,000 ","$4,900,000 ","$67,235,683 ","$67,235,683 ",New Line Cinema,USA,David F. Sandberg,Horror,,Lights Out,PG-13,7/22/16,81,6.4,Teresa Palmer,80019,Eric Heisserer
2016,1,"$15,000,000 ","$15,000,000 ","$71,897,215 ","$71,897,215 ",Paramount Pictures,USA,Dan Trachtenberg,Drama,,10 Cloverfield Lane,PG-13,2003/11/16,104,7.2,John Goodman,208655,Josh Campbell
2016,1,"$70,000,000 ","$70,000,000 ","$72,655,779 ","$72,655,779 ",RatPac-Dune Entertainment,USA,Nicholas Stoller,Animation,,Storks,PG,9/23/16,87,6.8,Andy Samberg,40740,Nicholas Stoller
2016,1,"$20,000,000 ","$20,000,000 ","$73,159,525 ","$73,159,525 ","Tyler Perry Company, The",USA,Tyler Perry,Comedy,,Boo! A Madea Halloween,PG-13,10/21/16,103,4.7,Tyler Perry,4640,Tyler Perry
2016,1,"$45,000,000 ","$45,000,000 ","$75,311,445 ","$75,311,445 ",Amblin Partners,USA,Tate Taylor,Crime,,The Girl on the Train,R,2010/7/16,112,6.5,Emily Blunt,116916,Erin Cressida Wilson
2016,1,"$65,000,000 ","$65,000,000 ","$76,204,454 ","$76,204,454 ",Walt Disney Pictures,USA,David Lowery,Action,,Pete's Dragon,PG,2008/12/16,102,6.7,Bryce Dallas Howard,41083,David Lowery
2016,1,"$170,000,000 ","$170,000,000 ","$77,042,381 ","$77,042,381 ",Walt Disney Pictures,USA,James Bobin,Adventure,,Alice Through the Looking Glass,PG,5/27/16,113,6.2,Mia Wasikowska,62895,Linda Woolverton
2016,1,"$10,000,000 ","$10,000,000 ","$79,003,080 ","$79,003,080 ",Universal Pictures,USA,James DeMonaco,Action,,The Purge: Election Year,R,2007/1/16,108,6,Frank Grillo,60239,James DeMonaco
2016,1,"$135,000,000 ","$135,000,000 ","$82,051,601 ","$82,051,601 ",Paramount Pictures,USA,Dave Green,Action,,Teenage Mutant Ninja Turtles: Out of the Shadows,PG-13,2006/3/16,112,6,Megan Fox,64684,Josh Appelbaum
2016,1,"$44,000,000 ","$44,000,000 ","$86,198,014 ","$86,198,014 ",Warner Bros.,USA,Gavin O'Connor,Action,,The Accountant,R,10/14/16,128,7.4,Ben Affleck,188598,Bill Dubuque
2016,1,"$9,900,000 ","$9,900,000 ","$89,210,468 ","$89,210,468 ",Screen Gems,USA,Fede Alvarez,Crime,,Don't Breathe,R,8/26/16,88,7.2,Stephen Lang,139449,Fede Alvarez
2016,1,"$90,000,000 ","$90,000,000 ","$93,381,044 ","$93,381,044 ",Metro-Goldwyn-Mayer (MGM),USA,Antoine Fuqua,Action,,The Magnificent Seven,PG-13,9/23/16,132,6.9,Denzel Washington,138262,Akira Kurosawa
2016,1,"$19,000,000 ","$19,000,000 ","$97,661,826 ","$97,661,826 ",Annapurna Pictures,USA,Greg Tiernan,Animation,,Sausage Party,R,2008/12/16,89,6.2,Seth Rogen,133200,Kyle Hunter
2016,1,"$110,000,000 ","$110,000,000 ","$100,014,699 ","$100,014,699 ",Columbia Pictures,USA,Morten Tyldum,Adventure,,Passengers,PG-13,12/21/16,116,7,Jennifer Lawrence,237553,Jon Spaihts
2016,1,"$47,000,000 ","$47,000,000 ","$100,546,139 ","$100,546,139 ",Lava Bear Films,USA,Denis Villeneuve,Drama,,Arrival,PG-13,2011/11/16,116,8,Amy Adams,391385,Eric Heisserer
2016,1,"$165,000,000 ","$165,000,000 ","$103,144,286 ","$103,144,286 ",Twentieth Century Fox Film Corporation,USA,Roland Emmerich,Action,,Independence Day: Resurgence,PG-13,6/24/16,120,5.3,Liam Hemsworth,137119,Nicolas Wright
2016,1,"$20,000,000 ","$20,000,000 ","$113,257,297 ","$113,257,297 ",STX Entertainment,USA,Jon Lucas,Comedy,,Bad Moms,R,7/29/16,100,6.2,Mila Kunis,76251,Jon Lucas
2016,1,"$60,000,000 ","$60,000,000 ","$125,070,033 ","$125,070,033 ",Flashlight Films,USA,Clint Eastwood,Biography,,Sully,PG-13,2009/9/16,96,7.5,Tom Hanks,157212,Todd Komarnicki
2016,1,"$50,000,000 ","$50,000,000 ","$127,440,871 ","$127,440,871 ",New Line Cinema,USA,Rawson Marshall Thurber,Action,,Central Intelligence,PG-13,6/17/16,107,6.3,Dwayne Johnson,106773,Ike Barinholtz
2016,1,"$144,000,000 ","$144,000,000 ","$128,344,089 ","$128,344,089 ",Columbia Pictures,USA,Paul Feig,Action,,Ghostbusters,PG-13,7/15/16,116,5.3,Melissa McCarthy,157351,Katie Dippold
2016,1,"$30,000,000 ","$30,000,000 ","$151,101,803 ","$151,101,803 ",Summit Entertainment,USA,Damien Chazelle,Comedy,,La La Land,PG-13,12/25/16,128,8.2,Ryan Gosling,308891,Damien Chazelle
2016,1,"$125,000,000 ","$125,000,000 ","$153,707,064 ","$153,707,064 ",DreamWorks Animation,USA,Mike Mitchell,Animation,,Trolls,PG,2011/4/16,92,6.5,Anna Kendrick,49423,Jonathan Aibel
2016,1,"$178,000,000 ","$178,000,000 ","$155,442,489 ","$155,442,489 ",Twentieth Century Fox Film Corporation,USA,Bryan Singer,Action,,X-Men: Apocalypse,PG-13,5/27/16,144,7,James McAvoy,296415,Simon Kinberg
2016,1,"$185,000,000 ","$185,000,000 ","$158,848,340 ","$158,848,340 ",Paramount Pictures,USA,Justin Lin,Action,,Star Trek Beyond,PG-13,7/22/16,122,7.1,Chris Pine,179426,Simon Pegg
2016,1,"$25,000,000 ","$25,000,000 ","$169,380,936 ","$169,380,936 ",Levantine Films,USA,Theodore Melfi,Biography,,Hidden Figures,PG,2001/6/17,127,7.8,Taraji P. Henson,121818,Allison Schroeder
2016,1,"$165,000,000 ","$165,000,000 ","$232,641,920 ","$232,641,920 ",Marvel Studios,USA,Scott Derrickson,Action,,Doctor Strange,PG-13,2011/4/16,115,7.5,Benedict Cumberbatch,348307,Jon Spaihts
2016,1,"$150,000,000 ","$150,000,000 ","$248,757,044 ","$248,757,044 ",Walt Disney Animation Studios,USA,Ron Clements,Animation,,Moana,PG,11/23/16,107,7.6,Auli'i Cravalho,157290,Jared Bush
2016,1,"$75,000,000 ","$75,000,000 ","$270,329,045 ","$270,329,045 ",Dentsu,USA,Garth Jennings,Animation,,Sing,PG,12/21/16,108,7.1,Matthew McConaughey,81466,Garth Jennings
2016,1,"$175,000,000 ","$175,000,000 ","$325,100,054 ","$325,100,054 ",Atlas Entertainment,USA,David Ayer,Action,,Suicide Squad,PG-13,2008/5/16,123,6.2,Will Smith,435667,David Ayer
2016,1,"$250,000,000 ","$250,000,000 ","$330,360,194 ","$330,360,194 ",Warner Bros.,USA,Zack Snyder,Action,,Batman v Superman: Dawn of Justice,PG-13,3/25/16,151,6.6,Ben Affleck,497351,Chris Terrio
2016,1,"$150,000,000 ","$150,000,000 ","$341,268,248 ","$341,268,248 ",Walt Disney Pictures,USA,Byron Howard,Animation,,Zootopia,PG,2003/4/16,108,8,Ginnifer Goodwin,317549,Byron Howard
2016,1,"$58,000,000 ","$58,000,000 ","$363,070,709 ","$363,070,709 ",Twentieth Century Fox Film Corporation,USA,Tim Miller,Action,,Deadpool,R,2002/12/16,108,8,Ryan Reynolds,668625,Rhett Reese
2016,1,"$250,000,000 ","$250,000,000 ","$408,084,349 ","$408,084,349 ",Marvel Studios,USA,Anthony Russo,Action,,Captain America: Civil War,PG-13,2005/6/16,147,7.9,Chris Evans,442645,Christopher Markus
2016,1,"$200,000,000 ","$200,000,000 ","$486,295,561 ","$486,295,561 ",Pixar Animation Studios,USA,Andrew Stanton,Animation,,Finding Dory,PG,6/17/16,97,7.4,Ellen DeGeneres,173005,Andrew Stanton
2016,1,"$200,000,000 ","$200,000,000 ","$532,177,324 ","$532,177,324 ",Lucasfilm,USA,Gareth Edwards,Action,,Rogue One,PG-13,12/16/16,133,7.9,Felicity Jones,365473,Chris Weitz
2015,1.0126,"$8,000,000 ","$8,100,800 ","$16,458 ","$16,665 ",Enderby Entertainment,USA,Daniel Alfredson,Thriller,,Blackway,R,2006/10/16,90,5.2,Anthony Hopkins,4931,Castle Freeman Jr.
2015,1.0126,"$25,000,000 ","$25,315,000 ","$20,083 ","$20,336 ",Bloom,USA,Gus Van Sant,Drama,,The Sea of Trees,PG-13,8/26/16,110,5.9,Matthew McConaughey,8519,Chris Sparling
2015,1.0126,"$8,000,000 ","$8,100,800 ","$25,369 ","$25,689 ",Amasia Entertainment,USA,Paco Cabezas,Action,,Mr. Right,R,2004/8/16,95,6.3,Anna Kendrick,33496,Max Landis
2015,1.0126,"$16,000,000 ","$16,201,600 ","$32,095 ","$32,499 ",Freedom Media,USA,Drake Doremus,Drama,,Equals,PG-13,5/26/16,101,6,Nicholas Hoult,18681,Nathan Parker
2015,1.0126,"$2,500,000 ","$2,531,500 ","$36,336 ","$36,794 ",Black Bear Pictures,USA,Eli Roth,Drama,,Knock Knock,R,2010/9/15,99,4.9,Keanu Reeves,56938,Eli Roth
2015,1.0126,"$5,000,000 ","$5,063,000 ","$66,371 ","$67,207 ",Big Beach Films,USA,Gaby Dellal,Drama,,3 Generations,PG-13,9/29/16,92,5.6,Naomi Watts,2608,Nikole Beckwith
2015,1.0126,"$6,000,000 ","$6,075,600 ","$83,861 ","$84,918 ","Princess Grace Foundation, The",USA,Cary Fukunaga,Drama,,Beasts of No Nation,NOT RATED,10/16/15,137,7.8,Abraham Attah,52905,Cary Fukunaga
2015,1.0126,"$800,000 ","$810,080 ","$128,002 ","$129,615 ",Audax Films,USA,Jon Watts,Crime,,Cop Car,R,2008/7/15,88,6.3,Kevin Bacon,24256,Jon Watts
2015,1.0126,"$8,500,000 ","$8,607,100 ","$187,112 ","$189,470 ",Lionsgate,USA,Henry Hobson,Drama,,Maggie,PG-13,2005/8/15,95,5.6,Arnold Schwarzenegger,35167,John Scott 3
2015,1.0126,"$7,000,000 ","$7,088,200 ","$532,988 ","$539,704 ",Double Feature Films,USA,Peter Sollett,Biography,,Freeheld,PG-13,2003/4/16,103,6.5,Julianne Moore,8801,Ron Nyswaner
