year,Inflation rate, budget ,budget_cleaned, gross ,gross_cleaned,company,country,director,genre,,name,rating,released,runtime,score,star,votes,writer
2001,1.3552,"$60,000,000 ","$81,312,000 ","$74,078,174 ","$100,390,741 ",Paramount Pictures,USA,Lee Tamahori,Drama,,Along Came a Spider,R,2004/6/1,104,6.3,Morgan Freeman,62868,James Patterson
2001,1.3552,"$45,000,000 ","$60,984,000 ","$76,631,907 ","$103,851,560 ",Warner Bros.,USA,Antoine Fuqua,Crime,,Training Day,R,2010/5/1,122,7.7,Denzel Washington,328937,David Ayer
2001,1.3552,"$100,000,000 ","$135,520,000 ","$78,616,689 ","$106,541,337 ",Warner Bros.,USA,Steven Spielberg,Adventure,,A.I. Artificial Intelligence,PG-13,6/29/01,146,7.1,Haley Joel Osment,255580,Brian Aldiss
2001,1.3552,"$30,000,000 ","$40,656,000 ","$80,936,232 ","$109,684,782 ",Paramount Pictures,USA,John A. Davis,Animation,,Jimmy Neutron: Boy Genius,G,12/21/01,82,6,Debi Derryberry,25867,John A. Davis
2001,1.3552,"$120,000,000 ","$162,624,000 ","$84,052,762 ","$113,908,303 ",Walt Disney Feature Animation,USA,Gary Trousdale,Animation,,Atlantis: The Lost Empire,PG,6/15/01,95,6.8,Michael J. Fox,80961,Tab Murphy
2001,1.3552,"$13,000,000 ","$17,617,600 ","$91,057,006 ","$123,400,455 ",Cort/Madden Productions,USA,Thomas Carter,Drama,,Save the Last Dance,PG-13,2001/12/1,112,6.2,Julia Stiles,50689,Duane Adler
2001,1.3552,"$60,000,000 ","$81,312,000 ","$93,385,515 ","$126,556,050 ",Warner Bros.,USA,Lawrence Guterman,Action,,Cats & Dogs,PG,2007/4/1,87,5.1,Alec Baldwin,48987,John Requa
2001,1.3552,"$46,000,000 ","$62,339,200 ","$93,607,673 ","$126,857,118 ",Revolution Studios,USA,Joe Roth,Comedy,,America's Sweethearts,PG-13,7/20/01,102,5.7,Julia Roberts,49618,Billy Crystal
2001,1.3552,"$18,000,000 ","$24,393,600 ","$96,520,674 ","$130,804,817 ",Metro-Goldwyn-Mayer (MGM),USA,Robert Luketic,Comedy,,Legally Blonde,PG-13,7/13/01,96,6.2,Reese Witherspoon,145161,Amanda Brown
2001,1.3552,"$68,000,000 ","$92,153,600 ","$100,614,858 ","$136,353,256 ",Paramount Pictures,USA,Cameron Crowe,Fantasy,,Vanilla Sky,R,12/14/01,136,6.9,Tom Cruise,218433,Alejandro Amen_ar
2001,1.3552,"$26,000,000 ","$35,235,200 ","$108,248,956 ","$146,698,985 ",Walt Disney Pictures,USA,Garry Marshall,Comedy,,The Princess Diaries,G,2008/3/1,111,6.3,Julie Andrews,103820,Meg Cabot
2001,1.3552,"$92,000,000 ","$124,678,400 ","$108,638,745 ","$147,227,227 ",Revolution Studios,USA,Ridley Scott,Drama,,Black Hawk Down,R,1/18/02,144,7.7,Josh Hartnett,313611,Mark Bowden
2001,1.3552,"$35,000,000 ","$47,432,000 ","$112,719,001 ","$152,756,790 ",Dimension Films,USA,Robert Rodriguez,Action,,Spy Kids,PG,3/30/01,88,5.4,Alexa PenaVega,90839,Robert Rodriguez
2001,1.3552,"$70,000,000 ","$94,864,000 ","$112,952,899 ","$153,073,769 ",Twentieth Century Fox Film Corporation,USA,Steve Carr,Comedy,,Dr. Dolittle 2,PG,6/22/01,87,4.7,Eddie Murphy,36199,Hugh Lofting
2001,1.3552,"$115,000,000 ","$155,848,000 ","$131,144,183 ","$177,726,597 ",Paramount Pictures,USA,Simon West,Action,,Lara Croft: Tomb Raider,PG-13,6/15/01,100,5.8,Angelina Jolie,167892,Sara B. Cooper
2001,1.3552,"$38,000,000 ","$51,497,600 ","$144,533,925 ","$195,872,375 ",Universal Pictures,USA,Rob Cohen,Action,,The Fast and the Furious,PG-13,6/22/01,106,6.7,Vin Diesel,295769,Ken Li
2001,1.3552,"$30,000,000 ","$40,656,000 ","$145,103,595 ","$196,644,392 ",LivePlanet,USA,J.B. Rogers,Comedy,,American Pie 2,R,2008/10/1,108,6.4,Jason Biggs,211629,Adam Herz
2001,1.3552,"$87,000,000 ","$117,902,400 ","$165,092,268 ","$223,733,042 ",Metro-Goldwyn-Mayer (MGM),USA,Ridley Scott,Crime,,Hannibal,R,2002/9/1,131,6.8,Anthony Hopkins,221016,Thomas Harris
2001,1.3552,"$58,000,000 ","$78,601,600 ","$170,742,341 ","$231,390,021 ",Universal Pictures,USA,Ron Howard,Biography,,A Beautiful Mind,PG-13,2001/4/2,135,8.2,Russell Crowe,681379,Akiva Goldsman
2001,1.3552,"$100,000,000 ","$135,520,000 ","$180,011,740 ","$243,951,910 ",Twentieth Century Fox Film Corporation,USA,Tim Burton,Action,,Planet of the Apes,PG-13,7/27/01,119,5.7,Mark Wahlberg,189575,Pierre Boulle
2001,1.3552,"$93,000,000 ","$126,033,600 ","$181,171,875 ","$245,524,125 ",Universal Pictures,USA,Joe Johnston,Action,,Jurassic Park III,PG-13,7/18/01,92,5.9,Sam Neill,239644,Michael Crichton
2001,1.3552,"$85,000,000 ","$115,192,000 ","$183,405,771 ","$248,551,501 ",Warner Bros.,USA,Steven Soderbergh,Crime,,Ocean's Eleven,PG-13,2012/7/1,116,7.8,George Clooney,434421,George Clayton Johnson
2001,1.3552,"$140,000,000 ","$189,728,000 ","$198,542,554 ","$269,064,869 ",Touchstone Pictures,USA,Michael Bay,Action,,Pearl Harbor,PG-13,5/25/01,183,6.1,Ben Affleck,272170,Randall Wallace
2001,1.3552,"$98,000,000 ","$132,809,600 ","$202,019,785 ","$273,777,213 ",Universal Pictures,USA,Stephen Sommers,Action,,The Mummy Returns,PG-13,2005/4/1,130,6.3,Brendan Fraser,264562,Stephen Sommers
2001,1.3552,"$90,000,000 ","$121,968,000 ","$226,164,286 ","$306,497,840 ",New Line Cinema,USA,Brett Ratner,Action,,Rush Hour 2,PG-13,2008/3/1,90,6.6,Jackie Chan,171603,Ross LaManna
2001,1.3552,"$60,000,000 ","$81,312,000 ","$267,665,011 ","$362,739,623 ",DreamWorks Animation,USA,Andrew Adamson,Animation,,Shrek,PG,5/18/01,90,7.9,Mike Myers,506495,William Steig
2001,1.3552,"$115,000,000 ","$155,848,000 ","$289,916,256 ","$392,894,510 ",Pixar Animation Studios,USA,Pete Docter,Animation,,"Monsters, Inc.",G,2011/2/1,92,8.1,Billy Crystal,652440,Pete Docter
2000,1.3938,"$1,000,000 ","$1,393,800 ","$12,996 ","$18,114 ",Brillstein-Grey Entertainment,USA,Craig Mazin,Action,,The Specials,R,9/18/00,82,6,Rob Lowe,2010,James Gunn
